Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000701952, 0.0153086, 3.84642e+10, 1.76371e+09, 84.1183, 3.85711, 127, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00077472, 0.015448, 3.48513e+10, 1.7478e+09, 76.2172, 3.82231, 127, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000768192, 0.0154589, 3.51475e+10, 1.74657e+09, 76.8649, 3.81961, 127, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000828128, 0.0155229, 3.26037e+10, 1.73936e+09, 71.3018, 3.80385, 127, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000783552, 0.015362, 3.44585e+10, 1.75758e+09, 75.3581, 3.84369, 127, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000797856, 0.0154467, 3.38407e+10, 1.74794e+09, 74.0071, 3.82262, 127, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000862336, 0.015492, 3.13103e+10, 1.74283e+09, 68.4733, 3.81144, 127, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000781568, 0.0154197, 3.45459e+10, 1.751e+09, 75.5494, 3.82931, 127, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000775776, 0.0153821, 3.48039e+10, 1.75528e+09, 76.1135, 3.83867, 127, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000895168, 0.0155329, 3.01619e+10, 1.73824e+09, 65.9619, 3.80141, 127, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000629504, 0.0152485, 4.28909e+10, 1.77066e+09, 93.7992, 3.8723, 63, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000625088, 0.01575, 4.31939e+10, 1.71429e+09, 94.4619, 3.74903, 63, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000699776, 0.0158697, 3.85838e+10, 1.70135e+09, 84.3799, 3.72073, 63, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00069632, 0.015327, 3.87753e+10, 1.76159e+09, 84.7987, 3.85247, 63, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000689888, 0.0153752, 3.91368e+10, 1.75607e+09, 85.5893, 3.84041, 63, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000772192, 0.0154625, 3.49654e+10, 1.74616e+09, 76.4667, 3.81873, 63, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000790848, 0.0154202, 3.41406e+10, 1.75095e+09, 74.6629, 3.8292, 63, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00078176, 0.015968, 3.45375e+10, 1.69088e+09, 75.5309, 3.69783, 63, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000866368, 0.0155293, 3.11646e+10, 1.73864e+09, 68.1546, 3.80229, 63, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000656608, 0.0152516, 4.11204e+10, 1.7703e+09, 89.9273, 3.87152, 63, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000649376, 0.0153133, 4.15784e+10, 1.76317e+09, 90.9288, 3.85592, 63, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000720064, 0.0153367, 3.74967e+10, 1.76048e+09, 82.0024, 3.85004, 63, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000794176, 0.0153813, 3.39975e+10, 1.75537e+09, 74.35, 3.83887, 63, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000786272, 0.0154335, 3.43393e+10, 1.74944e+09, 75.0974, 3.8259, 63, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000863264, 0.0154791, 3.12766e+10, 1.74428e+09, 68.3997, 3.81462, 63, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000987328, 0.0156794, 2.73465e+10, 1.72201e+09, 59.8048, 3.7659, 63, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00098176, 0.0156329, 2.75016e+10, 1.72712e+09, 60.144, 3.77709, 63, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.0011089, 0.0158415, 2.43485e+10, 1.70439e+09, 53.2485, 3.72737, 63, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000798816, 0.0154018, 3.38e+10, 1.75305e+09, 73.9181, 3.83378, 63, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00079264, 0.0154189, 3.40634e+10, 1.7511e+09, 74.4941, 3.82952, 63, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000911552, 0.0155483, 2.96198e+10, 1.73652e+09, 64.7763, 3.79765, 63, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00139786, 0.0160378, 1.93153e+10, 1.68352e+09, 42.2411, 3.68173, 63, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00139898, 0.016007, 1.92998e+10, 1.68676e+09, 42.2073, 3.68882, 63, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00149178, 0.016151, 1.80992e+10, 1.67172e+09, 39.5817, 3.65593, 63, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000804384, 0.0153915, 3.35661e+10, 1.75422e+09, 73.4065, 3.83634, 31, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000800256, 0.0154279, 3.37392e+10, 1.75007e+09, 73.7851, 3.82728, 31, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000879392, 0.0154964, 3.0703e+10, 1.74234e+09, 67.1453, 3.81036, 31, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000882016, 0.0155709, 3.06117e+10, 1.734e+09, 66.9455, 3.79213, 31, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00087616, 0.0155122, 3.08163e+10, 1.74056e+09, 67.3929, 3.80648, 31, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00097952, 0.0157166, 2.75645e+10, 1.71792e+09, 60.2816, 3.75697, 31, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00100733, 0.0156014, 2.68036e+10, 1.73062e+09, 58.6174, 3.78473, 31, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00100106, 0.0156341, 2.69715e+10, 1.72699e+09, 58.9847, 3.77681, 31, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00111526, 0.015725, 2.42095e+10, 1.71701e+09, 52.9444, 3.75498, 31, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000663104, 0.0152339, 4.07176e+10, 1.77236e+09, 89.0464, 3.87602, 31, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000656896, 0.0153119, 4.11024e+10, 1.76333e+09, 89.8879, 3.85628, 31, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000778976, 0.0154045, 3.46609e+10, 1.75273e+09, 75.8008, 3.83309, 31, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000800736, 0.0154166, 3.3719e+10, 1.75136e+09, 73.7409, 3.8301, 31, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00079712, 0.0154049, 3.38719e+10, 1.75269e+09, 74.0754, 3.833, 31, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000916096, 0.0155967, 2.94729e+10, 1.73113e+09, 64.455, 3.78586, 31, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00101149, 0.0156798, 2.66933e+10, 1.72196e+09, 58.3764, 3.76581, 31, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00100518, 0.0157365, 2.68608e+10, 1.71575e+09, 58.7425, 3.75222, 31, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00113472, 0.0158014, 2.37944e+10, 1.70871e+09, 52.0366, 3.73682, 31, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00142493, 0.0160439, 1.89483e+10, 1.68288e+09, 41.4386, 3.68034, 31, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.0014191, 0.0160455, 1.90261e+10, 1.68271e+09, 41.6086, 3.67997, 31, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00156934, 0.0162149, 1.72046e+10, 1.66513e+09, 37.6253, 3.64152, 31, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.0027433, 0.017342, 9.84218e+09, 1.55692e+09, 21.5241, 3.40486, 31, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00274032, 0.0173867, 9.85286e+09, 1.55291e+09, 21.5475, 3.3961, 31, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00294163, 0.0175552, 9.17858e+09, 1.53801e+09, 20.0729, 3.36351, 31, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000853376, 0.015449, 3.1639e+10, 1.74769e+09, 69.1922, 3.82207, 15, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000845728, 0.0154662, 3.19252e+10, 1.74574e+09, 69.818, 3.81781, 15, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000959296, 0.0156251, 2.81456e+10, 1.72799e+09, 61.5524, 3.77899, 15, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000938368, 0.0156036, 2.87734e+10, 1.73038e+09, 62.9252, 3.7842, 15, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000934304, 0.0155995, 2.88985e+10, 1.73083e+09, 63.1989, 3.7852, 15, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.0010504, 0.0157496, 2.57045e+10, 1.71433e+09, 56.2138, 3.7491, 15, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00106291, 0.0156884, 2.54019e+10, 1.72102e+09, 55.5521, 3.76375, 15, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00105859, 0.0157303, 2.55056e+10, 1.71644e+09, 55.7788, 3.75372, 15, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00118003, 0.0158219, 2.28807e+10, 1.70649e+09, 50.0385, 3.73197, 15, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00122899, 0.0158589, 2.19692e+10, 1.70251e+09, 48.0451, 3.72326, 15, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.001216, 0.0158383, 2.22039e+10, 1.70473e+09, 48.5584, 3.72811, 15, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00135837, 0.0165423, 1.98768e+10, 1.63218e+09, 43.4691, 3.56946, 15, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00148083, 0.0160865, 1.8233e+10, 1.67842e+09, 39.8742, 3.67059, 15, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00147085, 0.0160793, 1.83568e+10, 1.67918e+09, 40.1449, 3.67225, 15, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00163021, 0.016277, 1.65623e+10, 1.65878e+09, 36.2205, 3.62764, 15, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00193693, 0.0165858, 1.39396e+10, 1.6279e+09, 30.4849, 3.56009, 15, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00192605, 0.0171566, 1.40183e+10, 1.57374e+09, 30.6571, 3.44165, 15, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00209638, 0.0168328, 1.28793e+10, 1.60401e+09, 28.1661, 3.50786, 15, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00285216, 0.0174508, 9.46651e+09, 1.54721e+09, 20.7026, 3.38364, 15, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00284166, 0.0174714, 9.50147e+09, 1.54538e+09, 20.779, 3.37964, 15, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00303587, 0.017683, 8.89366e+09, 1.52689e+09, 19.4498, 3.3392, 15, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00572435, 0.0204028, 4.71669e+09, 1.32334e+09, 10.3151, 2.89406, 15, 128, Complete
