Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00017936, 0.000582752, 5.01784e+09, 1.5444e+09, 31, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000105888, 0.000536672, 8.49955e+09, 1.677e+09, 31, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 9.9904e-05, 0.000502016, 9.00865e+09, 1.79277e+09, 31, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015744, 0.000558432, 5.71646e+09, 1.61166e+09, 31, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.6336e-05, 0.000446048, 1.94233e+10, 2.01772e+09, 15, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.256e-05, 0.000482752, 2.11466e+10, 1.86431e+09, 15, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 9.3696e-05, 0.000500576, 9.60553e+09, 1.79793e+09, 15, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.8064e-05, 0.000454656, 1.8725e+10, 1.97952e+09, 15, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.304e-05, 0.000442528, 2.09108e+10, 2.03377e+09, 15, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000161344, 0.000568224, 5.57814e+09, 1.58388e+09, 15, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.2096e-05, 0.0004528, 1.72758e+10, 1.98763e+09, 15, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.6144e-05, 0.000439552, 1.95042e+10, 2.04754e+09, 15, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.0001, 0.000496672, 9e+09, 1.81206e+09, 15, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.696e-05, 0.000452864, 1.58006e+10, 1.98735e+09, 15, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.0432e-05, 0.00046384, 1.78458e+10, 1.94032e+09, 15, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000170816, 0.000585504, 5.26883e+09, 1.53714e+09, 15, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.4672e-05, 0.000460192, 1.39164e+10, 1.95571e+09, 15, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.8752e-05, 0.000456128, 1.53186e+10, 1.97313e+09, 15, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00011312, 0.000509184, 7.95615e+09, 1.76753e+09, 15, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 7.9488e-05, 0.00048016, 1.13225e+10, 1.87438e+09, 15, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.3792e-05, 0.000472096, 1.21964e+10, 1.90639e+09, 15, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000195744, 0.000601088, 4.59784e+09, 1.49728e+09, 15, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000109856, 0.000518688, 8.19254e+09, 1.73515e+09, 15, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000104, 0.00051152, 8.65385e+09, 1.75946e+09, 15, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000157632, 0.000564416, 5.7095e+09, 1.59457e+09, 15, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.00020144, 0.000609824, 4.46783e+09, 1.47584e+09, 15, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000196256, 0.000593024, 4.58585e+09, 1.51765e+09, 15, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000254912, 0.000652672, 3.53063e+09, 1.37895e+09, 15, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.8512e-05, 0.000468448, 1.31364e+10, 1.92124e+09, 7, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 6.304e-05, 0.000466432, 1.42766e+10, 1.92954e+09, 7, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00011824, 0.000527296, 7.61164e+09, 1.70682e+09, 7, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 7.5424e-05, 0.000483776, 1.19325e+10, 1.86037e+09, 7, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 6.9536e-05, 0.000475872, 1.29429e+10, 1.89126e+09, 7, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00012544, 0.000528544, 7.17475e+09, 1.70279e+09, 7, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 8.4224e-05, 0.000490112, 1.06858e+10, 1.83632e+09, 7, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.8976e-05, 0.000475456, 1.13959e+10, 1.89292e+09, 7, 768, Complete
