Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 0.0528132, 0.0601847, 0.112998, 3.57865e+008, 1.6726e+008, 7, 32, Complete
NVS 5400M, 18900000, 0.0945746, 0.0612931, 0.155868, 1.99842e+008, 1.21257e+008, 7, 16, Complete
NVS 5400M, 18900000, 0.183117, 0.0606901, 0.243808, 1.03212e+008, 7.75201e+007, 7, 8, Complete
NVS 5400M, 18900000, 0.366168, 0.0619807, 0.428148, 5.16157e+007, 4.41436e+007, 7, 4, Complete
NVS 5400M, 18900000, 0.00761062, 0.0637202, 0.0713308, 2.48337e+009, 2.64963e+008, 3, 1024, Complete
NVS 5400M, 18900000, 0.00764182, 0.0636288, 0.0712706, 2.47323e+009, 2.65187e+008, 3, 512, Complete
NVS 5400M, 18900000, 0.014446, 0.0618707, 0.0763167, 1.30832e+009, 2.47652e+008, 3, 256, Complete
NVS 5400M, 18900000, 0.0287676, 0.0615678, 0.0903354, 6.5699e+008, 2.0922e+008, 3, 128, Complete
NVS 5400M, 18900000, 0.0578752, 0.0648837, 0.122759, 3.26565e+008, 1.5396e+008, 3, 64, Complete
NVS 5400M, 18900000, 0.115898, 0.0599989, 0.175897, 1.63075e+008, 1.07449e+008, 3, 32, Complete
NVS 5400M, 18900000, 0.1842, 0.0619099, 0.24611, 1.02606e+008, 7.67949e+007, 3, 16, Complete
NVS 5400M, 18900000, 0.335618, 0.0617529, 0.397371, 5.63141e+007, 4.75626e+007, 3, 8, Complete
NVS 5400M, 18900000, 0.488204, 0.0628237, 0.551028, 3.87133e+007, 3.42995e+007, 3, 4, Complete
NVS 5400M, 18900000, 0.0108769, 0.0606601, 0.0715369, 1.73763e+009, 2.64199e+008, 1, 1024, Complete
NVS 5400M, 18900000, 0.0209102, 0.06261, 0.0835202, 9.03866e+008, 2.26293e+008, 1, 512, Complete
NVS 5400M, 18900000, 0.0420284, 0.0617428, 0.103771, 4.49696e+008, 1.82131e+008, 1, 256, Complete
NVS 5400M, 18900000, 0.0838419, 0.0621902, 0.146032, 2.25424e+008, 1.29424e+008, 1, 128, Complete
NVS 5400M, 18900000, 0.167989, 0.0638767, 0.231866, 1.12507e+008, 8.15127e+007, 1, 64, Complete
NVS 5400M, 18900000, 0.335611, 0.0619514, 0.397562, 5.63152e+007, 4.75397e+007, 1, 32, Complete
NVS 5400M, 18900000, 0.482474, 0.0645581, 0.547032, 3.91731e+007, 3.45501e+007, 1, 16, Complete
NVS 5400M, 18900000, 0.777743, 0.0618346, 0.839577, 2.43011e+007, 2.25113e+007, 1, 8, Complete
NVS 5400M, 18900000, 1.36408, 0.0603554, 1.42444, 1.38555e+007, 1.32684e+007, 1, 4, Complete
NVS 5400M, 21000000, 1.3951, 0.068876, 1.46398, 1.50527e+007, 1.43445e+007, 65535, 1024, Complete
NVS 5400M, 21000000, 0.570508, 0.065816, 0.636324, 3.68093e+007, 3.3002e+007, 65535, 512, Complete
NVS 5400M, 21000000, 0.268093, 0.0698396, 0.337932, 7.83311e+007, 6.21426e+007, 65535, 256, Complete
NVS 5400M, 21000000, 0.129703, 0.0686077, 0.19831, 1.61909e+008, 1.05895e+008, 65535, 128, Complete
NVS 5400M, 21000000, 0.0746522, 0.0687321, 0.143384, 2.81304e+008, 1.4646e+008, 65535, 64, Complete
NVS 5400M, 21000000, 0.0754122, 0.069013, 0.144425, 2.7847e+008, 1.45404e+008, 65535, 32, Complete
NVS 5400M, 21000000, 0.0815492, 0.0686725, 0.150222, 2.57513e+008, 1.39793e+008, 65535, 16, Complete
NVS 5400M, 21000000, 0.101419, 0.067504, 0.168923, 2.07061e+008, 1.24317e+008, 65535, 8, Complete
NVS 5400M, 21000000, 0.148384, 0.0686427, 0.217026, 1.41525e+008, 9.67625e+007, 65535, 4, Complete
NVS 5400M, 21000000, 0.694824, 0.0717467, 0.766571, 3.02235e+007, 2.73947e+007, 32767, 1024, Complete
NVS 5400M, 21000000, 0.285319, 0.06903, 0.354349, 7.36017e+007, 5.92635e+007, 32767, 512, Complete
NVS 5400M, 21000000, 0.135683, 0.0686176, 0.204301, 1.54772e+008, 1.0279e+008, 32767, 256, Complete
NVS 5400M, 21000000, 0.0669632, 0.0694921, 0.136455, 3.13605e+008, 1.53897e+008, 32767, 128, Complete
NVS 5400M, 21000000, 0.0427698, 0.0675071, 0.110277, 4.91001e+008, 1.9043e+008, 32767, 64, Complete
